fee_id,allocation_id,investor_id,deal_id,fee_type,period,fee_rate_pct,basis,amount,currency,due_date,status
FEE0001,ALC0001,INV001,DEAL001,Structuring Fee,2022,4.0,Commitment,1600.0,USD,2022-03-15,Paid
FEE0002,ALC0001,INV001,DEAL001,Management Fee,2026,2.0,Commitment,800.0,USD,2026-07-15,Upcoming
FEE0003,ALC0001,INV001,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0004,ALC0002,INV002,DEAL001,Structuring Fee,2022,4.0,Commitment,4120.0,USD,2022-03-15,Paid
FEE0005,ALC0002,INV002,DEAL001,Management Fee,2026,2.0,Commitment,2060.0,USD,2026-01-15,Paid
FEE0006,ALC0002,INV002,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0007,ALC0003,INV010,DEAL001,Structuring Fee,2022,4.0,Commitment,1800.0,USD,2022-03-15,Paid
FEE0008,ALC0003,INV010,DEAL001,Management Fee,2026,2.0,Commitment,900.0,USD,2026-07-15,Upcoming
FEE0009,ALC0003,INV010,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0010,ALC0004,INV009,DEAL001,Structuring Fee,2022,4.0,Commitment,880.0,USD,2022-03-15,Paid
FEE0011,ALC0004,INV009,DEAL001,Management Fee,2026,2.0,Commitment,440.0,USD,2026-01-15,Paid
FEE0012,ALC0005,INV020,DEAL001,Structuring Fee,2022,3.0,Commitment,2580.0,USD,2022-03-15,Paid
FEE0013,ALC0005,INV020,DEAL001,Management Fee,2026,2.0,Commitment,1720.0,USD,2026-07-15,Upcoming
FEE0014,ALC0005,INV020,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0015,ALC0006,INV041,DEAL001,Structuring Fee,2022,4.0,Commitment,2200.0,USD,2022-03-15,Paid
FEE0016,ALC0007,INV109,DEAL001,Structuring Fee,2022,3.0,Commitment,2040.0,USD,2022-03-15,Paid
FEE0017,ALC0007,INV109,DEAL001,Management Fee,2026,1.0,Commitment,680.0,USD,2026-01-15,Paid
FEE0018,ALC0007,INV109,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0019,ALC0008,INV093,DEAL001,Management Fee,2026,2.0,Commitment,2440.0,USD,2026-07-15,Upcoming
FEE0020,ALC0008,INV093,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0021,ALC0009,INV042,DEAL001,Structuring Fee,2022,4.0,Commitment,2000.0,USD,2022-03-15,Paid
FEE0022,ALC0009,INV042,DEAL001,Management Fee,2026,2.0,Commitment,1000.0,USD,2026-01-15,Paid
FEE0023,ALC0009,INV042,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0024,ALC0010,INV058,DEAL001,Structuring Fee,2022,3.0,Commitment,1830.0,USD,2022-03-15,Paid
FEE0025,ALC0010,INV058,DEAL001,Management Fee,2026,2.0,Commitment,1220.0,USD,2026-07-15,Upcoming
FEE0026,ALC0011,INV112,DEAL001,Structuring Fee,2022,4.0,Commitment,2440.0,USD,2022-03-15,Paid
FEE0027,ALC0011,INV112,DEAL001,Management Fee,2026,2.0,Commitment,1220.0,USD,2026-07-15,Upcoming
FEE0028,ALC0011,INV112,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0029,ALC0012,INV004,DEAL001,Management Fee,2026,2.0,Commitment,960.0,USD,2026-01-15,Paid
FEE0030,ALC0013,INV048,DEAL001,Management Fee,2026,2.0,Commitment,2020.0,USD,2026-05-01,Overdue
FEE0031,ALC0014,INV050,DEAL001,Structuring Fee,2022,4.0,Commitment,520.0,USD,2022-03-15,Paid
FEE0032,ALC0014,INV050,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0033,ALC0015,INV035,DEAL001,Management Fee,2026,2.0,Commitment,460.0,USD,2026-07-15,Upcoming
FEE0034,ALC0015,INV035,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0035,ALC0016,INV085,DEAL001,Management Fee,2026,2.0,Commitment,520.0,USD,2026-01-15,Paid
FEE0036,ALC0016,INV085,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-01-15,Paid
FEE0037,ALC0017,INV056,DEAL001,Structuring Fee,2022,4.0,Commitment,1680.0,USD,2022-03-15,Paid
FEE0038,ALC0017,INV056,DEAL001,Management Fee,2026,2.0,Commitment,840.0,USD,2026-07-15,Upcoming
FEE0039,ALC0018,INV019,DEAL001,Structuring Fee,2022,4.0,Commitment,2360.0,USD,2022-03-15,Paid
FEE0040,ALC0018,INV019,DEAL001,Management Fee,2026,1.0,Commitment,590.0,USD,2026-01-15,Paid
FEE0041,ALC0019,INV015,DEAL001,Structuring Fee,2022,4.0,Commitment,1600.0,USD,2022-03-15,Paid
FEE0042,ALC0019,INV015,DEAL001,Management Fee,2026,2.0,Commitment,800.0,USD,2026-05-01,Overdue
FEE0043,ALC0019,INV015,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-05-01,Overdue
FEE0044,ALC0020,INV107,DEAL001,Structuring Fee,2022,4.0,Commitment,2840.0,USD,2022-03-15,Paid
FEE0045,ALC0020,INV107,DEAL001,Management Fee,2026,2.0,Commitment,1420.0,USD,2026-07-15,Upcoming
FEE0046,ALC0020,INV107,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
FEE0047,ALC0021,INV031,DEAL001,Structuring Fee,2022,4.0,Commitment,800.0,USD,2022-03-15,Paid
FEE0048,ALC0021,INV031,DEAL001,Management Fee,2026,2.0,Commitment,400.0,USD,2026-05-01,Overdue
FEE0049,ALC0021,INV031,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-05-01,Overdue
FEE0050,ALC0022,INV014,DEAL001,Structuring Fee,2022,4.0,Commitment,560.0,USD,2022-03-15,Paid
FEE0051,ALC0022,INV014,DEAL001,Management Fee,2026,2.0,Commitment,280.0,USD,2026-07-15,Upcoming
FEE0052,ALC0022,INV014,DEAL001,Admin Fee,2026,,Flat,450.0,USD,2026-07-15,Upcoming
