line_id,investor_id,date,type,deal_id,amount,currency,reference_id
LN00001,INV001,2022-03-15,Capital Contribution,DEAL001,-40000.0,USD,CALL0001
LN00002,INV001,2022-03-15,Structuring Fee,DEAL001,-1600.0,USD,FEE0001
LN00003,INV001,2023-11-20,Capital Contribution,DEAL002,-35000.0,USD,CALL0024
LN00004,INV001,2023-11-20,Structuring Fee,DEAL002,-1400.0,USD,FEE0055
LN00005,INV001,2024-06-12,Capital Contribution,DEAL006,-137000.0,USD,CALL0235
LN00006,INV001,2025-09-25,Capital Contribution,DEAL003,-15600.0,USD,CALL0053
LN00007,INV002,2021-11-05,Capital Contribution,DEAL007,-84000.0,EUR,CALL0293
LN00008,INV002,2021-11-05,Structuring Fee,DEAL007,-4200.0,EUR,FEE0586
LN00009,INV002,2022-03-15,Capital Contribution,DEAL001,-103000.0,USD,CALL0002
LN00010,INV002,2022-03-15,Structuring Fee,DEAL001,-4120.0,USD,FEE0004
LN00011,INV002,2023-02-10,Capital Contribution,DEAL004,-71000.0,GBP,CALL0185
LN00012,INV002,2023-02-10,Structuring Fee,DEAL004,-2130.0,GBP,FEE0309
LN00013,INV002,2023-11-20,Capital Contribution,DEAL002,-23000.0,USD,CALL0049
LN00014,INV002,2023-11-20,Structuring Fee,DEAL002,-920.0,USD,FEE0129
LN00015,INV002,2024-06-12,Capital Contribution,DEAL006,-19000.0,USD,CALL0250
LN00016,INV002,2024-06-12,Structuring Fee,DEAL006,-760.0,USD,FEE0477
LN00017,INV002,2024-08-20,Exit Proceeds,DEAL007,115500.0,EUR,DIST0004
LN00018,INV002,2025-09-25,Capital Contribution,DEAL003,-24000.0,USD,CALL0079
LN00019,INV002,2025-09-25,Structuring Fee,DEAL003,-800.0,USD,FEE0169
LN00020,INV002,2026-01-15,Management Fee,DEAL001,-2060.0,USD,FEE0005
LN00021,INV002,2026-01-15,Admin Fee,DEAL001,-450.0,USD,FEE0006
LN00022,INV002,2026-01-15,Management Fee,DEAL002,-460.0,USD,FEE0130
LN00023,INV002,2026-01-15,Admin Fee,DEAL002,-450.0,USD,FEE0131
LN00024,INV002,2026-01-15,Management Fee,DEAL004,-1065.0,GBP,FEE0310
LN00025,INV002,2026-01-15,Admin Fee,DEAL004,-450.0,USD,FEE0311
LN00026,INV002,2026-01-15,Management Fee,DEAL006,-380.0,USD,FEE0478
LN00027,INV002,2026-01-15,Admin Fee,DEAL006,-450.0,USD,FEE0479
LN00028,INV003,2021-09-01,Capital Contribution,DEAL005,-70000.0,USD,CALL0223
LN00029,INV003,2021-09-01,Structuring Fee,DEAL005,-2100.0,USD,FEE0403
LN00030,INV003,2022-08-30,Capital Contribution,DEAL013,-575000.0,USD,CALL0413
LN00031,INV003,2022-08-30,Structuring Fee,DEAL013,-23000.0,USD,FEE0870
LN00032,INV003,2022-12-05,Capital Contribution,DEAL020,-650000.0,USD,CALL0630
LN00033,INV003,2022-12-05,Structuring Fee,DEAL020,-26000.0,USD,FEE1337
LN00034,INV003,2023-05-19,Capital Contribution,DEAL016,-29000.0,EUR,CALL0543
LN00035,INV003,2023-05-19,Structuring Fee,DEAL016,-1160.0,EUR,FEE1111
LN00036,INV003,2023-11-20,Capital Contribution,DEAL002,-975000.0,USD,CALL0025
LN00037,INV003,2023-11-20,Structuring Fee,DEAL002,-39000.0,USD,FEE0058
LN00038,INV003,2024-01-22,Capital Contribution,DEAL018,-36000.0,EUR,CALL0601
LN00039,INV003,2024-01-22,Structuring Fee,DEAL018,-1440.0,EUR,FEE1258
LN00040,INV003,2024-06-12,Capital Contribution,DEAL006,-825000.0,USD,CALL0232
LN00041,INV003,2024-06-12,Structuring Fee,DEAL006,-33000.0,USD,FEE0427
LN00042,INV003,2024-09-10,Capital Contribution,DEAL014,-17500.0,USD,CALL0468
LN00043,INV003,2024-11-18,Capital Contribution,DEAL021,-750000.0,USD,CALL0648
LN00044,INV003,2024-11-18,Structuring Fee,DEAL021,-37500.0,USD,FEE1382
LN00045,INV003,2025-01-10,Secondary Sale,DEAL020,413400.0,USD,DIST0019
LN00046,INV003,2025-09-25,Capital Contribution,DEAL003,-570000.0,USD,CALL0051
LN00047,INV003,2025-09-25,Structuring Fee,DEAL003,-38000.0,USD,FEE0135
LN00048,INV003,2026-01-15,Management Fee,DEAL002,-19500.0,USD,FEE0059
LN00049,INV003,2026-01-15,Admin Fee,DEAL002,-450.0,USD,FEE0060
LN00050,INV003,2026-01-15,Management Fee,DEAL003,-19000.0,USD,FEE0136
LN00051,INV003,2026-01-15,Admin Fee,DEAL003,-450.0,USD,FEE0137
LN00052,INV003,2026-01-15,Management Fee,DEAL014,-700.0,USD,FEE0976
LN00053,INV003,2026-01-15,Management Fee,DEAL018,-720.0,EUR,FEE1259
LN00054,INV003,2026-01-15,Admin Fee,DEAL018,-450.0,USD,FEE1260
LN00055,INV004,2021-10-30,Capital Contribution,DEAL009,-500000.0,GBP,CALL0319
LN00056,INV004,2021-10-30,Structuring Fee,DEAL009,-20000.0,GBP,FEE0611
LN00057,INV004,2022-03-15,Capital Contribution,DEAL001,-48000.0,USD,CALL0012
LN00058,INV004,2023-02-10,Capital Contribution,DEAL004,-525000.0,GBP,CALL0187
LN00059,INV004,2023-07-22,Capital Contribution,DEAL010,-85000.0,GBP,CALL0339
LN00060,INV004,2023-07-22,Structuring Fee,DEAL010,-3400.0,GBP,FEE0666
LN00061,INV004,2023-11-20,Capital Contribution,DEAL002,-750000.0,USD,CALL0026
LN00062,INV004,2023-11-20,Structuring Fee,DEAL002,-30000.0,USD,FEE0061
LN00063,INV004,2024-03-08,Capital Contribution,DEAL017,-700000.0,GBP,CALL0560
LN00064,INV004,2024-03-08,Structuring Fee,DEAL017,-28000.0,GBP,FEE1159
LN00065,INV004,2025-09-25,Capital Contribution,DEAL003,-13200.0,USD,CALL0071
